pkg,v_old,v_new,element,,,,,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'com.ruesga.android.wallpapers.photophase.widgets.AlbumPictures', '', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'ImageView', '@+id/overflow', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'TextView', '@+id/album_pictures_title', '', '',,,,,,,
com.ruesga.android.wallpapers.photophase,v1.0.3,v1.0.4,'ImageView', '@+id/back', '', '',,,,,,,
yellr.net.yellr_android,v0.1.5,v0.1.8,'TextView', '@+id/frag_post_anonymous_text', '@string/frag_post_anonymous', '',,,,,,,
yellr.net.yellr_android,v0.1.3,v0.1.4,'TextView', '@+id/frag_post_media_text', '@string/frag_post_media_text', '',,,,,,,
yellr.net.yellr_android,v0.1.3,v0.1.4,'View', '', '', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/splash_tagline', '@string/splash_tagline', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_view_story_title', 'loading story ...', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_home_story_publish_datetime', 'Published: 4 days ago', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'ImageView', '@+id/frag_post_imagepreview', '', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_view_story_author', 'Story by: Tim Duffy', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '', '@string/hello_blank_fragment', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_post_assignment_description', '@string/fragment_post_assignment_description', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_home_assignment_organization', 'Org: yellr', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/splash_title', '@string/splash_title', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_home_story_title', 'What are you doing for Fun?', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_location_infotext', '@string/frag_location_infotext', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_post_assignment_question', '@string/fragment_post_assignment_title', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'EditText', '@+id/frag_post_edittext', '', '',,,,,,,
yellr.net.yellr_android,v0.1.0,v0.1.2,'TextView', '@+id/frag_home_story_publish_author', 'Tim Duffy / HHROC', '',,,,,,,
me.jamesfrost.simpledo,v1.1.1,v1.2.0,'TextView', '@+id/textView3', 'Released under the GNU Public License.', '',,,,,,,
jp.yhonda,v2.0,v2.1,'CheckedTextView', '@+id/checkedTextView1', 'Maxima on Android installs additional 85MB of data. Please choose the install localtion and press Install.', '',,,,,,,
org.telegram.messenger,v3.18.0,v4.1.1,'ImageView', '@+id/icon_image2', '', '',,,,,,,
org.telegram.messenger,v3.18.0,v4.1.1,'ImageView', '@+id/icon_image1', '', '@drawable/intro1',,,,,,,
org.telegram.messenger,v3.18.0,v4.1.1,'View', '@+id/background_image_intro', '', '',,,,,,,
org.telegram.messenger,v3.18.0,v4.1.1,'TextView', '@+id/start_messaging_button', '', '',,,,,,,
org.telegram.messenger,v3.18.0,v4.1.1,'TextView', '@+id/header_text', '', '',,,,,,,
org.telegram.messenger,v3.18.0,v4.1.1,'TextView', '@+id/message_text', '', '',,,,,,,
org.telegram.messenger,v3.13.1,v3.18.0a,'org.telegram.ui.Components.BackupImageView', '@+id/message_image', '', '',,,,,,,
org.telegram.messenger,v3.13.1,v3.18.0a,'ProgressBar', '', '', '',,,,,,,
org.telegram.messenger,v3.13.1,v3.18.0a,'TextView', '@+id/count_text', '', '',,,,,,,
org.telegram.messenger,v3.13.1,v3.18.0a,'TextView', '@+id/message_text', '', '',,,,,,,
org.telegram.messenger,v3.13.1,v3.18.0a,'TextView', '@+id/bubble_text_view', '', '',,,,,,,
org.telegram.messenger,v3.13.1,v3.18.0a,'TextView', '@+id/searchEmptyView', '', '',,,,,,,
org.telegram.messenger,v3.13.1,v3.18.0a,'ListView', '@+id/listView', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'TextView', '@+id/edited_title', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'ImageView', '@+id/play_button', '', '@drawable/video_play',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'TextureView', '@+id/video_view', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'ImageView', '', '', '@drawable/cats',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'org.telegram.ui.Components.VideoSeekBarView', '@+id/video_seekbar', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'org.telegram.ui.Components.VideoTimelineView', '@+id/video_timeline_view', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'TextView', '@+id/edited_size', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'TextView', '@+id/original_title', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'TextView', '@+id/original_size', '', '',,,,,,,
org.telegram.messenger,v3.10.1,v3.13.1,'CheckBox', '@+id/compress_video', '', '',,,,,,,
org.telegram.messenger,v3.4.2,v3.6.1a,'TextView', '@+id/identicon_text', '', '',,,,,,,
org.telegram.messenger,v3.4.2,v3.6.1a,'ImageView', '@+id/identicon_view', '', '',,,,,,,
org.telegram.messenger,v2.9.1,v3.0.1,'ImageView', '', '', '@drawable/ic_ab_new',,,,,,,
org.telegram.messenger,v2.9.1,v3.0.1,'ProgressBar', '@+id/center_progress', '', '',,,,,,,
org.telegram.messenger,v2.9.1,v3.0.1,'TextView', '@+id/chat_message_text', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'ImageView', '@+id/floating_button', '', '@drawable/floating_pencil',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'org.telegram.ui.Components.ColorPickerView', '@+id/color_picker', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'org.telegram.ui.Components.BackupImageView', '@+id/image', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'TextView', '@+id/list_empty_view_text2', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'TextView', '@+id/search_empty_text', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'ListView', '@+id/messages_list_view', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'ImageView', '@+id/background_image', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'ProgressBar', '', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'ProgressBar', '@+id/action_progress', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'org.telegram.ui.Components.RecyclerExListView', '', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'ImageView', '@+id/image', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'org.telegram.ui.Components.HorizontalListView', '@+id/listView', '', '',,,,,,,
org.telegram.messenger,v2.8.1,v2.9.1,'TextView', '@+id/list_empty_view_text1', '', '',,,,,,,
org.telegram.messenger,v2.6.0,v2.8.1,'TextView', '@+id/location_send_button', '', '',,,,,,,
org.telegram.messenger,v2.6.0,v2.8.1,'com.google.android.gms.maps.MapView', '@+id/map_view', '', '',,,,,,,
org.telegram.messenger,v2.6.0,v2.8.1,'org.telegram.ui.Components.BackupImageView', '@+id/location_avatar_view', '', '',,,,,,,
org.telegram.messenger,v2.6.0,v2.8.1,'TextView', '@+id/location_distance_label', '', '',,,,,,,
org.telegram.messenger,v2.6.0,v2.8.1,'TextView', '@+id/location_name_label', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/secret_description1', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageView', '', '', '@drawable/slidearrow',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/secret_description4', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'org.telegram.ui.Components.FrameLayoutFixed', '@+id/record_panel', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageButton', '@+id/chat_audio_send_button', '', '@drawable/mic_button_states',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageButton', '@+id/chat_send_button', '', '@drawable/ic_send',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'org.telegram.ui.Components.LayoutListView', '@+id/chat_list_view', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageView', '', '', '@drawable/rec',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/slideToCancelTextView', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageView', '', '', '@drawable/ic_video',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/recording_time_text', '00:00', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ProgressBar', '@+id/center_progress', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/bottom_overlay_text', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'EditText', '@+id/chat_text_edit', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageView', '', '', '@drawable/ic_lock_white',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/secret_description3', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'org.telegram.ui.Components.BackupImageView', '@+id/media_photo_image', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'org.telegram.ui.Components.RecyclerListView', '@+id/stickers_listview', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/bottom_overlay_chat_text', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageView', '', '', '@drawable/stickers_back_arrow',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'org.telegram.ui.Components.FrameLayoutFixed', '@+id/empty_view', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/secret_title', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'org.telegram.ui.Components.FrameLayoutFixed', '', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/invite_text', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/secret_description2', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/chat_video_time', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageView', '@+id/chat_smile_button', '', '@drawable/ic_msg_panel_smiles',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'TextView', '@+id/searchEmptyView', '', '',,,,,,,
org.telegram.messenger,v2.4.0,v2.5.2,'ImageView', '@+id/pagedown_button', '', '@drawable/pagedown',,,,,,,
org.telegram.messenger,v2.3.2,v2.4.0,'ImageView', '@+id/floating_button', '', '@drawable/floating_states',,,,,,,
org.telegram.messenger,v2.3.2,v2.4.0,'ProgressBar', '', '', '',,,,,,,
org.telegram.messenger,v2.3.2,v2.4.0,'TextView', '@+id/searchEmptyView', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'ProgressBar', '', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'Button', '@+id/cancel_button', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'ImageView', '@+id/photo_check', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'TextView', '@+id/album_count', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'TextView', '@+id/album_name', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'TextView', '@+id/searchEmptyView', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'org.telegram.ui.Components.BackupImageView', '@+id/media_photo_image', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'TextView', '@+id/done_button_badge', '', '',,,,,,,
org.telegram.messenger,v2.1.1,v2.3.2,'TextView', '@+id/done_button_text', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.LayoutListView', '@+id/chat_list_view', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.FrameLayoutFixed', '@+id/record_panel', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.VideoTimelineView', '@+id/video_timeline_view', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.FrameLayoutFixed', '', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.BackupImageView', '@+id/message_image', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.BackupImageView', '@+id/location_avatar_view', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.BackupImageView', '@+id/image', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.FrameLayoutFixed', '@+id/empty_view', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.ColorPickerView', '@+id/color_picker', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.BackupImageView', '@+id/media_photo_image', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.VideoSeekBarView', '@+id/video_seekbar', '', '',,,,,,,
org.telegram.messenger,v2.0.4,v2.1.0,'org.telegram.ui.Views.HorizontalListView', '@+id/listView', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageView', '@+id/settings_row_check_button', '', '@drawable/btn_check_off_holo_light',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/login_first_name_field', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.BackupImageView', '@+id/docs_item_thumb', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.BackupImageView', '@+id/settings_avatar_image', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageButton', '@+id/settings_edit_name', '', '@drawable/ic_edit',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/login_confirm_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/docs_item_title', 'TextView', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.LoginActivityRegisterView', '@+id/login_page3', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/settings_name', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/login_sms_confirm_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/login_county_code_field', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageButton', '@+id/settings_call_phone', '', '@drawable/call',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/start_secret_button_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/first_name_field', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/status_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/login_time_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/wrong_number', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageButton', '@+id/settings_change_avatar_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/new_broadcast_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '', '+', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/login_problem', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/settings_row_text_detail', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/login_phone_field', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/new_secret_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/settings_online', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/contacts_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ProgressBar', '@+id/progress', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'View', '@+id/settings_row_divider', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/docs_item_type', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageView', '@+id/settings_row_check_button', '', '@drawable/btn_check_on',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.BackupImageView', '@+id/chat_avatar_image', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/login_sms_code_field', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.PinnedHeaderListView', '@+id/listView', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/done_button_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageView', '@+id/back_button', '', '@drawable/ic_ab_back',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ProgressBar', '', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.IdenticonView', '@+id/identicon_view', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.BackupImageView', '@+id/messages_list_row_avatar', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageView', '@+id/top_plane_close', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/login_coutry_textview', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/last_name_field', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/settings_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.TimerButton', '@+id/chat_timer', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageButton', '@+id/settings_edit_name', '', '@drawable/ic_profile_send_message',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/login_last_name_field', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'EditText', '@+id/bubble_input_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'View', '', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'Button', '@+id/cancel_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/changed_mind', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.LoginActivityPhoneView', '@+id/login_page1', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageView', '@+id/launch_background', '', '@drawable/cats',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageView', '@+id/messages_list_row_avatar', '', '@drawable/addmember',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/messages_list_row_name', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/settings_row_text', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/info_text_view', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/messages_list_row_message', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/login_register_info', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/done_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/new_group_button', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/docs_item_info', 'TextView', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.Views.FrameLayoutFixed', '@+id/back_button_background', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ListView', '@+id/listView', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'ImageView', '@+id/messages_list_row_avatar', '', '@drawable/ic_ab_share',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/searchEmptyView', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'org.telegram.ui.LoginActivitySmsView', '@+id/login_page2', '', '',,,,,,,
org.telegram.messenger,v1.9.6,v2.0.4,'TextView', '@+id/top_panel_text', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'org.telegram.ui.Views.TightTextView', '@+id/chat_message_text', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'TextView', '@+id/chat_user_group_name', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'TextView', '@+id/chat_time_text', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'ImageButton', '@+id/chat_send_button', '', '@drawable/send_button_states',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'ImageView', '@+id/close_button', '', '@drawable/ic_profile_cross',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'TextView', '@+id/settings_section_text', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'EditText', '@+id/last_name_field', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'ImageView', '@+id/chat_row_check', '', '@drawable/msg_check',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'TextView', '@+id/message_text_view', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'org.telegram.ui.Views.BackupImageView', '@+id/chat_group_avatar_image', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'org.telegram.ui.Views.BackupImageView', '@+id/contact_avatar', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'View', '', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'ImageView', '@+id/add_contact_button', '', '@drawable/ic_ab_add_member',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'TextView', '@+id/phone_text_view', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'ImageView', '@+id/chat_row_halfcheck', '', '@drawable/msg_halfcheck',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'org.telegram.ui.Views.NotificationView', '@+id/container_view', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'org.telegram.ui.Views.BackupImageView', '@+id/avatar_image', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'EditText', '@+id/first_name_field', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'org.telegram.ui.Views.BackupImageView', '@+id/chat_photo_image', '', '',,,,,,,
org.telegram.messenger,v1.9.3,v1.9.6,'TextView', '@+id/name_text_view', '', '',,,,,,,
org.telegram.messenger,v1.8.3,v1.9.3,'ProgressBar', '', '', '',,,,,,,
org.telegram.messenger,v1.8.3,v1.9.3,'org.telegram.ui.Views.FrameLayoutFixed', '', '', '',,,,,,,
org.telegram.messenger,v1.8.3,v1.9.3,'SurfaceView', '@+id/video_view', '', '',,,,,,,
org.telegram.messenger,v1.7.0,v1.8.3,'ImageView', '@+id/chat_row_check', '', '@drawable/msg_check_w',,,,,,,
org.telegram.messenger,v1.7.0,v1.8.3,'org.telegram.ui.Views.BackupImageView', '@+id/chat_group_avatar_image', '', '',,,,,,,
